name,R_sun,M_sun,T_eff,log_g,Fe_H,alpha
WASP49a,1.038,1.003,5600,4.5,-0.08,0
HD189733a,0.756,0.823,5201,4.64,-0.02,0
Cancri55a,0.98,1.015,5172,4.43,0.35,0
WASP39a,0.895,0.93,5400,4.503,-0.12,0
KELT20,1.61744,2.282,9032,4.37873,-0.02,0
KELT9,2.28773,2.431,9550,4.105,-0.03,0
WASP121,1.458,1.358,6776,4.242,0.13,0
WASP189,2.36,2.03,8000,4.0128600,0.29,0
WASP21,1.136,0.890,5800,4.277,-0.46,0
WASP69,0.8180950,0.826,4700,4.4323,0.150,0
WASP76,1.458,1.744,6329,4.1233,0.366,0
WASP79,1.39,1.51,6600,4.2819500,0.030,0